33226224_494.cml_Service_messages_0	Service messages	"Service messages."
37683505_522.cml_Tire_identification_marks_4	Tire identification marks	"Uniform Tire Quality Grading

 Quality grades can be found where applicable on the tire sidewall between tread shoulder and maximum section width.
For example: Treadwear 200; Traction AA; Temperature A"
37683505_522.cml_Tire_identification_marks_5	Tire identification marks	"DOT Quality Grades

 Treadwear
Traction AA A B C
Temperature A B C
All passenger car tires must conform to Federal Safety Requirements in addition to these grades."
37683505_522.cml_Tire_identification_marks_6	Tire identification marks	"Treadwear

 The treadwear grade is a comparative rating based on the wear rate of the tire when tested under controlled conditions on a specified government test course. For example, a tire graded 150 would wear one and one-half, 1 g, times as well on the government course as a tire graded 100. The relative performance of tires depends upon the actual conditions of their use, however, and may depart significantly from the norm due to variations in driving habits, service practices and differences in road characteristics and climate."
37683505_522.cml_Tire_identification_marks_7	Tire identification marks	"Traction

 The traction grades, from highest to lowest, are AA, A, B, and C.
Those grades represent the tire's ability to stop on wet pavement as measured under controlled conditions on specified government test surfaces of asphalt and concrete. A tire marked C may have poor traction performance.
The traction grade assigned to this tire is based on straight-ahead braking traction tests, and does not include acceleration, cornering, hydroplaning, or peak traction characteristics."
37683505_522.cml_Tire_identification_marks_8	Tire identification marks	"Temperature

 The temperature grades are A, the highest, B, and C, representing the tire's resistance to the generation of heat and its ability to dissipate heat when tested under controlled conditions on a specified indoor laboratory test wheel. Sustained high temperature can cause the material of the tire to degenerate and reduce tire life, and excessive temperature can lead to sudden tire failure. The grade C corresponds to a level of performance which all passenger car tires must meet under the Federal Motor Vehicle Safety Standard No. 109. Grades Band A represent higher levels of performance on the laboratory test wheel than the minimum required by law.
Warning: Temperature grade for this tire"
37683505_522.cml_Tire_identification_marks_9	Tire identification marks	"RSC – Run-flat tires

 Run-flat tires are labeled with a circular symbol containing the letters RSC marked on the sidewall."
37683505_522.cml_Tire_identification_marks_10	Tire identification marks	"M+S

 Winter and all-season tires with better cold weather performance than summer tires."
37683620_305.cml_Overview_0	Overview	"Button in the vehicle

 Button in the vehicle"
37683620_305.cml_Overview_1	Overview	"Ultrasound sensors

 The ultrasound sensors for measuring parking spaces are located on the wheel housing.
To ensure full functionality:
- Keep the sensors clean and free of ice.
- When using high-pressure washers, do not spray the sensors for long periods and maintain a distance of at least 30 cm 30 cm, approx. 12 in 12 inches/30 cm .
- Do not put stickers over sensors."
37683923_279.cml_Switching_distance_control_on/off_0	Switching distance control on/off	"Information

 Traffic ahead"
37683923_279.cml_Switching_distance_control_on/off_1	Switching distance control on/off	"Switching distance control off

 Press and hold this button.
Or:
Press and hold this button.
The indicator lamp in the instrument cluster lights up.
To switch distance control back on, press one of the two buttons again briefly.
After changing over distance control, a Check Control message is displayed."
37684472_21.cml_Seat_and_mirror_memory_0	Seat and mirror memory	"General information

 Two different driver's seat and exterior mirror positions can be stored per profile and called up."
37684472_21.cml_Seat_and_mirror_memory_1	Seat and mirror memory	"Storing

 1. Switch on the ignition.
2. Set the desired position.
3. Press button on the seat: the LED in the button lights up.
4. Press button 1 or 2 on the seat: the LED goes out."
37684472_21.cml_Seat_and_mirror_memory_2	Seat and mirror memory	"Calling up settings

 1. Open the driver's door after unlocking.
2. Briefly press the desired button 1 or 2."
37684792_555.cml_Overview_0	Overview	"Button in the vehicle"
37684825_235.cml_Intelligent_Safety_0	Intelligent Safety	"The concept

 Intelligent Safety enables central operation of the driver assistance system.
The intelligent safety systems can help prevent an imminent collision.
- Front-end collision warning with City Braking function.
- Person warning with City light braking function."
37684825_235.cml_Intelligent_Safety_1	Intelligent Safety	"Information

 Adapting your speed and driving style
Tow-starting and towing"
37684825_235.cml_Intelligent_Safety_2	Intelligent Safety	"Overview

 Button in the vehicle

 Button in the vehicle"
37684825_235.cml_Intelligent_Safety_3	Intelligent Safety	"Switching on/off

 Some Intelligent Safety systems are automatically active after every departure. Some Intelligent Safety systems activate according to the last setting.
Press button briefly:
- The menu for the intelligent safety system is displayed. The systems are individually switched off according to their respective settings.
- LED lights up orange or goes out respective to their individual settings.To switch off the front collision warning, press the button twice as needed. Adjust as needed. Individual settings are stored for the profile currently used.
Press button again:
- All Intelligent Safety systems are activated.
- The LED lights up green.Hold down button:
- All Intelligent Safety systems are turned off.
- The LED goes out."
