33226224_635.cml_Service_messages_0	Service messages	"Service messages."
34388602_395.cml_System_limits_2	System limits	"Limits of ultrasonic measurement

 Ultrasonic measuring might not function under the following circumstances:
- For small children and animals.
- For persons with certain clothing, for example coats.
- With external interference of the ultrasound, for example from passing vehicles or loud machines.
- When sensors are dirty, iced over, damaged or out of position.
- Under certain weather conditions such as high relative humidity, rain, snowfall, extreme heat or strong wind.
- With tow bars and trailer couplings of other vehicles.
- With thin or wedge-shaped objects.
- With moving objects.
- With elevated, protruding objects such as ledges or cargo.
- With objects with corners and sharp edges.
- With objects with a fine surface structure such as fences.
- For objects with porous surfaces.
- If cargo protrudes.Low objects already displayed, for example, curbs, can move into the blind area of the sensors before or after a continuous tone sounds."
34388602_395.cml_System_limits_3	System limits	"False warnings

 PDC may issue a warning under the following conditions even though there is no obstacle within the detection range:
- In heavy rain.
- When sensors are very dirty or covered with ice.
- When sensors are covered in snow.
- On rough road surfaces.
- On uneven surfaces, such as speed bumps.
- In large buildings with right angles and smooth walls, for example, in underground garages.
- In automatic car washes.
- Through heavy pollution.
- When the trailer hitch cover is not on straight.
- Due to other ultrasound sources, for example, sweeping machines, high pressure steam cleaners or neon lights.If necessary, switch off automatic PDC activation on obstacle detection, for example in car washes, to reduce false alarms."
34388626_443.cml_General_information_0	General information	"The lighter socket can be used as a socket for electrical equipment while the engine is running or when the ignition is switched on. The lighter socket can be used as a socket for electrical equipment when operating and drive readiness are activated."
34388885_51.cml_Using_the_phone_0	Using the phone	"Accepting a call

 Incoming call can be accepted via iDrive or the button on the steering wheel.
Via the iDrive

  Accept 
Via the button on the steering wheel

 Press button. Via the instrument cluster

 Use the thumbwheel on the steering wheel to select:  Accept "
34388885_51.cml_Using_the_phone_1	Using the phone	"Dialing a number

 1.  Telephone 
2.  Dial number 
3. Select the digits individually.
4. Select the symbol.If connection is to be set up via the additional phone: If connection is to be set up via phone 2: 1. Select the digits individually.
2. Open  Options .
3.  Call via "
34388961_261.cml_Welcome_lights_and_headlight_courtesy_delay_feature_0	Welcome lights and headlight courtesy delay feature	"Welcome lights

 General information

 Depending on the equipment, when switching off the vehicle, switch positionor.
Depending on the ambient brightness, individual light functions may be switched on briefly, when the vehicle is unlocked.
Activating/deactivating

 On the Control Display:
1.  Settings 
2.  Lighting 
3.  Welcome lights Settings are stored for the profile currently used."
34388961_261.cml_Welcome_lights_and_headlight_courtesy_delay_feature_1	Welcome lights and headlight courtesy delay feature	"Headlight courtesy delay feature

 General information

 The low beams stay lit for a short while if the headlight flasher is switched on after the radio-ready state is switched off. Setting the duration

 On the Control Display:
1.  Settings 
2.  Lighting 
3.  Pathway lighting: 
4. Set length of time.Settings are stored for the profile currently used."
34388980_478.cml_Increase_range_0	Increase range	"General information

 The vehicle contains comprehensive technologies for reducing the energy consumption and for maximizing the range.
The range depends on a number of different factors.
The implementation of certain measures, driving style and regular maintenance can increase range and thereby also reduce the environmental impact."
34388980_478.cml_Increase_range_1	Increase range	"Remove unnecessary cargo

 Additional weight increases fuel consumption. Additional weight reduces the range."
34388980_478.cml_Increase_range_2	Increase range	"Remove attached parts following use

 Remove auxiliary mirrors, roof-mounted or rear luggage racks which are no longer required following use. Remove roof-mounted luggage racks which are no longer required following use. Attached parts on the vehicle impair the aerodynamics and increase the fuel consumption. Attached parts on the vehicle impair the aerodynamics and increase the energy consumption."
34388980_478.cml_Increase_range_3	Increase range	"Close the windows and glass sunroof

 Driving with the glass sunroof and windows open results in increased air resistance and thereby reduces the range. Closing the windows

 Open windows increase air resistance and therefore lead to greater fuel consumption."
34388980_478.cml_Increase_range_4	Increase range	"Tires

 General information

 Tires can affect fuel consumption in various ways, for example, tire size may influence fuel consumption. Tires can affect energy consumption in various ways, for instance energy consumption can be influenced by tire size. Check the tire inflation pressure regularly

 Check and, if needed, correct the tire inflation pressure at least twice a month and before starting on a long trip.
Low tire inflation pressure increases rolling resistance and thus raises fuel consumption and tire wear. Low tire inflation pressure increases rolling resistance and thus raises energy consumption and tire wear."
